moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
"Teenage Mutant Ninja Turtles: Out of the Shadows"w32wJun 3, 2016w135000000.0w82051601.0w245328374
"Happy Feet Two"w33wNov 18, 2011w135000000.0w64006466.0w157956466
Miami Vicew34wJul 28, 2006w135000000.0w63478838.0w163818556
The Nutcracker and the Four Realmsw35wNov 2, 2018w132900000.0w54858851.0w170293899
War of the Worldsw36wJun 29, 2005w132000000.0w234280354.0w606836535
Penguins of Madagascarw37wNov 26, 2014w132000000.0w83350911.0w366942531
The Hunger Games: Catching Firew38wNov 22, 2013w130000000.0w424668047.0w864868047
Harry Potter and the Prisoner of Azkabanw39wJun 4, 2004w130000000.0w249757726.0w796907323
The Bourne Ultimatumw40wAug 3, 2007w130000000.0w227471070.0w444043396
Ant-Man and the Waspw41wJul 6, 2018w130000000.0w216648740.0w623144660
Kung Fu Pandaw42wJun 6, 2008w130000000.0w215434591.0w631910531
Ant-Manw43wJul 17, 2015w130000000.0w180202163.0w518858449
Homew44wMar 27, 2015w130000000.0w177397510.0w385997896
Mary Poppins Returnsw45wDec 19, 2018w130000000.0w171958438.0w341528518
Puss in Bootsw46wOct 28, 2011w130000000.0w149260504.0w554987477
Megamindw47wNov 5, 2010w130000000.0w148415853.0w321887208
Bad Boys IIw48wJul 18, 2003w130000000.0w138540870.0w273271982
Rio 2w49wApr 11, 2014w130000000.0w131538435.0w492846291
Saltw50wJul 23, 2010w130000000.0w118311368.0w290650494
Noahw51wMar 28, 2014w130000000.0w101200044.0w352831065
The Adventures of Tintinw52wDec 21, 2011w130000000.0w77591831.0w373993951
After Earthw53wMay 31, 2013w130000000.0w60522097.0w251499665
Australiaw54wNov 26, 2008w130000000.0w49554002.0w215080810
R.I.P.D.w55wJul 19, 2013w130000000.0w33618855.0w79076678
"How to Train Your Dragon: The Hidden World"w56wFeb 22, 2019w129000000.0w160791800.0w519258283
"The Twilight Saga: Breaking Dawn, Part 1"w57wNov 18, 2011w127500000.0w281287133.0w689420051
Dinosaurw58wMay 19, 2000w127500000.0w137748063.0w356148063
Loganw59wMar 3, 2017w127000000.0w226277068.0w615461394
Night at the Museum: Secret of the Tombw60wDec 19, 2014w127000000.0w113746621.0w353756621
"Harry Potter and the Deathly Hallows: Part II"w61wJul 15, 2011w125000000.0w381193157.0w1341693157
The Hunger Games: Mockingjay - Part 1w62wNov 21, 2014w125000000.0w337135885.0w766575131
Harry Potter and the Sorcererâs Stonew63wNov 16, 2001w125000000.0w317871467.0w975047606
"Harry Potter and the Deathly Hallows: Part I"w64wNov 19, 2010w125000000.0w296131568.0w960431568
The Da Vinci Codew65wMay 19, 2006w125000000.0w217536138.0w767820459
X-Men 2w66wMay 2, 2003w125000000.0w214949694.0w406875536
Fast Fivew67wApr 29, 2011w125000000.0w210031325.0w630163454
Teenage Mutant Ninja Turtlesw68wAug 8, 2014w125000000.0w191204754.0w485004754
"Sherlock Holmes: A Game of Shadows"w69wDec 16, 2011w125000000.0w186848418.0w535663443
"The Day After Tomorrow"w70wMay 28, 2004w125000000.0w186740799.0w556319450
The Boss Babyw71wMar 31, 2017w125000000.0w175003033.0w510878762
Clash of the Titansw72wApr 1, 2010w125000000.0w163214888.0w493214888
Trollsw73wNov 4, 2016w125000000.0w153707064.0w344150134
Godzillaw74wMay 19, 1998w125000000.0w136314294.0w376000000
