moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
Teenage Mutant Ninja Turtlesw68wAug 8, 2014w$125,000,000w$191,204,754w$485,004,754
"Sherlock Holmes: A Game of Shadows"w69wDec 16, 2011w$125,000,000w$186,848,418w$535,663,443
"The Day After Tomorrow"w70wMay 28, 2004w$125,000,000w$186,740,799w$556,319,450
The Boss Babyw71wMar 31, 2017w$125,000,000w$175,003,033w$510,878,762
Clash of the Titansw72wApr 1, 2010w$125,000,000w$163,214,888w$493,214,888
Trollsw73wNov 4, 2016w$125,000,000w$153,707,064w$344,150,134
Godzillaw74wMay 19, 1998w$125,000,000w$136,314,294w$376,000,000
Prometheusw75wJun 8, 2012w$125,000,000w$126,477,084w$402,448,265
The Bourne Legacyw76wAug 10, 2012w$125,000,000w$113,203,870w$280,355,920
Batman & Robinw77wJun 20, 1997w$125,000,000w$107,325,195w$238,317,814
Skyscraperw78wJul 13, 2018w$125,000,000w$68,420,120w$304,115,534
Total Recallw79wAug 3, 2012w$125,000,000w$58,877,969w$211,856,088
Assassinâs Creedw80wDec 21, 2016w$125,000,000w$54,647,948w$240,759,682
Monster Trucksw81wJan 13, 2017w$125,000,000w$33,370,166w$61,642,798
The 13th Warriorw82wAug 27, 1999w$125,000,000w$32,698,899w$61,698,899
"How the Grinch Stole Christmas"w83wNov 17, 2000w$123,000,000w$260,044,825w$345,141,403
Mission: Impossible 2w84wMay 24, 2000w$120,000,000w$215,409,889w$549,588,516
The Perfect Stormw85wJun 30, 2000w$120,000,000w$182,618,434w$328,711,434
Jason Bournew86wJul 29, 2016w$120,000,000w$162,192,920w$416,168,316
Fantastic Four: Rise of the Silver Surferw87wJun 15, 2007w$120,000,000w$131,921,738w$289,480,691
Life of Piw88wNov 21, 2012w$120,000,000w$124,987,022w$620,912,003
Ghost Riderw89wFeb 16, 2007w$120,000,000w$115,802,596w$229,545,589
Rampagew90wApr 13, 2018w$120,000,000w$101,028,233w$428,056,280
Charlie's Angels: Full Throttlew91wJun 27, 2003w$120,000,000w$100,814,328w$227,200,000
Elysiumw92wAug 9, 2013w$120,000,000w$93,050,117w$286,192,091
Oblivionw93wApr 19, 2013w$120,000,000w$89,107,235w$287,916,633
"Power Rangers"w94wMar 24, 2017w$120,000,000w$85,364,450w$142,531,552
Stuart Little 2w95wJul 19, 2002w$120,000,000w$64,956,806w$166,000,000
RoboCopw96wFeb 12, 2014w$120,000,000w$58,607,007w$242,981,799
The Chronicles of Riddickw97wJun 11, 2004w$120,000,000w$57,712,751w$107,212,751
Fantastic Fourw98wAug 7, 2015w$120,000,000w$56,117,548w$167,849,187
Speed Racerw99wMay 9, 2008w$120,000,000w$43,945,766w$93,394,462
The Islandw100wJul 22, 2005w$120,000,000w$35,818,913w$163,018,913
"How Do You Know?"w1wDec 17, 2010w$120,000,000w$30,212,620w$49,628,177
Knight and Dayw2wJun 23, 2010w$117,000,000w$76,423,035w$258,751,370
Venomw3wOct 5, 2018w$116,000,000w$213,511,408w$853,628,605
Star Wars Ep. I: The Phantom Menacew4wMay 19, 1999w$115,000,000w$474,544,677w$1,027,044,677
Star Wars Ep. III: Revenge of the Sithw5wMay 19, 2005w$115,000,000w$380,270,577w$848,998,877
Star Wars Ep. II: Attack of the Clonesw6wMay 16, 2002w$115,000,000w$310,676,740w$656,695,615
Monsters, Inc.w7wNov 2, 2001w$115,000,000w$289,423,425w$559,757,719
The Wolverinew8wJul 26, 2013w$115,000,000w$132,556,852w$416,456,852
Dante's Peakw9wFeb 7, 1997w$115,000,000w$67,163,857w$178,200,000
The Huntsman: Winterâs Warw10wApr 22, 2016w$115,000,000w$48,003,015w$165,149,302
Windtalkersw11wJun 14, 2002w$115,000,000w$40,914,068w$77,628,265
AstÃ©rix aux Jeux Olympiquesw12wJul 4, 2008w$113,500,000w$999,811w$132,999,811
Gulliver's Travelsw13wDec 25, 2010w$112,000,000w$42,779,261w$232,017,848
Ferdinandw14wDec 15, 2017w$111,000,000w$84,410,380w$289,847,930
Deadpool 2w15wMay 18, 2018w$110,000,000w$324,591,735w$786,680,557
Gravityw16wOct 4, 2013w$110,000,000w$274,092,705w$693,698,673
Night at the Museumw17wDec 22, 2006w$110,000,000w$250,863,268w$579,446,407
Mr. and Mrs. Smithw18wJun 10, 2005w$110,000,000w$186,336,279w$486,124,090
San Andreasw19wMay 29, 2015w$110,000,000w$155,190,832w$456,258,539
The Smurfsw20wJul 29, 2011w$110,000,000w$142,614,158w$563,749,323
Live Free or Die Hardw21wJun 27, 2007w$110,000,000w$134,529,403w$382,288,147
The Divergent Series: Insurgentw22wMar 20, 2015w$110,000,000w$130,179,072w$295,075,882
